DATE,DISTRICT,STATE,CIRCUIT,CHAP_12
1987-09-30,ILLINOIS NORTHERN,ILLINOIS,SEVENTH CIRCUIT,3
1987-09-30,ILLINOIS SOUTHERN,ILLINOIS,SEVENTH CIRCUIT,11
1987-09-30,INDIANA NORTHERN,INDIANA,SEVENTH CIRCUIT,11
1987-09-30,INDIANA SOUTHERN,INDIANA,SEVENTH CIRCUIT,30
1987-09-30,IOWA NORTHERN,IOWA,EIGHTH CIRCUIT,18
1987-09-30,IOWA SOUTHERN,IOWA,EIGHTH CIRCUIT,10
1987-09-30,KANSAS,KANSAS,TENTH CIRCUIT,48
1987-09-30,KENTUCKY EASTERN,KENTUCKY,SIXTH CIRCUIT,7
1987-09-30,KENTUCKY WESTERN,KENTUCKY,SIXTH CIRCUIT,18
1987-09-30,LOUISIANA EASTERN,LOUISIANA,FIFTH CIRCUIT,8
1987-09-30,LOUISIANA MIDDLE,LOUISIANA,FIFTH CIRCUIT,5
1987-09-30,LOUISIANA WESTERN,LOUISIANA,FIFTH CIRCUIT,40
1987-09-30,MAINE,MAINE,FIRST CIRCUIT,1
1987-09-30,MARYLAND,MARYLAND,FOURTH CIRCUIT,3
1987-09-30,MASSACHUSETTS,MASSACHUSETTS,FIRST CIRCUIT,0
1987-09-30,MICHIGAN EASTERN,MICHIGAN,SIXTH CIRCUIT,18
1987-09-30,MICHIGAN WESTERN,MICHIGAN,SIXTH CIRCUIT,12
1987-09-30,MINNESOTA,MINNESOTA,EIGHTH CIRCUIT,20
1987-09-30,MISSISSIPPI NORTHERN,MISSISSIPPI,FIFTH CIRCUIT,18
1987-09-30,MISSISSIPPI SOUTHERN,MISSISSIPPI,FIFTH CIRCUIT,0
1987-09-30,MISSOURI EASTERN,MISSOURI,EIGHTH CIRCUIT,7
1987-09-30,MISSOURI WESTERN,MISSOURI,EIGHTH CIRCUIT,27
1987-09-30,MONTANA,MONTANA,NINTH CIRCUIT,12
1987-09-30,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,106
1987-09-30,NEVADA,NEVADA,NINTH CIRCUIT,1
1987-09-30,NEW HAMPSHIRE,NEW HAMPSHIRE,FIRST CIRCUIT,0
1987-09-30,NEW JERSEY,NEW JERSEY,THIRD CIRCUIT,1
1987-09-30,NEW MEXICO,NEW MEXICO,TENTH CIRCUIT,5
1987-09-30,NEW YORK EASTERN,NEW YORK,SECOND CIRCUIT,0
1987-09-30,NEW YORK NORTHERN,NEW YORK,SECOND CIRCUIT,5
1987-09-30,NEW YORK SOUTHERN,NEW YORK,SECOND CIRCUIT,0
1987-09-30,NEW YORK WESTERN,NEW YORK,SECOND CIRCUIT,3
1987-09-30,NORTH CAROLINA EASTERN,NORTH CAROLINA,FOURTH CIRCUIT,9
1987-09-30,NORTH CAROLINA MIDDLE,NORTH CAROLINA,FOURTH CIRCUIT,1
1987-09-30,NORTH CAROLINA WESTERN,NORTH CAROLINA,FOURTH CIRCUIT,1
1987-09-30,NORTH DAKOTA,NORTH DAKOTA,EIGHTH CIRCUIT,22
1987-09-30,NORTHERN MARIANAS,NORTHERN MARIANA ISLANDS,NINTH CIRCUIT,0
1987-09-30,OHIO NORTHERN,OHIO,SIXTH CIRCUIT,11
1987-09-30,OHIO SOUTHERN,OHIO,SIXTH CIRCUIT,18
1987-09-30,OKLAHOMA EASTERN,OKLAHOMA,TENTH CIRCUIT,13
1987-09-30,OKLAHOMA NORTHERN,OKLAHOMA,TENTH CIRCUIT,6
