STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CIRCUIT_NUM,DATE,month,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13,TOTAL_OTHER,TOTAL_BCHAP_OTHER,CHAP_9,CHAP_15,OTHERS,QTR_ENDED,YEAR,FISCAL_YEAR,ST_ABRV
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,3RD,2013-01-31,1,666,434,4,0,228,19,14,3,0,2,647,420,1,226,NA,NA,NA,NA,NA,2013.1,2013,2013,PA
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,1ST,2013-01-31,1,750,272,25,2,451,41,10,24,2,5,709,262,1,446,NA,NA,NA,NA,NA,2013.1,2013,2013,NA
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,1ST,2013-01-31,1,291,237,2,0,52,16,14,1,0,1,275,223,1,51,NA,NA,NA,NA,NA,2013.1,2013,2013,RI
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,4TH,2013-01-31,1,623,232,5,0,386,23,18,3,0,2,600,214,2,384,NA,NA,NA,NA,NA,2013.1,2013,2013,SC
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,8TH,2013-01-31,1,87,77,1,0,9,5,3,1,0,1,82,74,0,8,NA,NA,NA,NA,NA,2013.1,2013,2013,SD
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,6TH,2013-01-31,1,986,547,6,2,431,31,20,6,2,3,955,527,0,428,NA,NA,NA,NA,NA,2013.1,2013,2013,TN
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,6TH,2013-01-31,1,874,499,9,1,365,27,18,6,1,2,847,481,3,363,NA,NA,NA,NA,NA,2013.1,2013,2013,TN
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,6TH,2013-01-31,1,1356,356,5,0,995,10,5,4,0,1,1346,351,1,994,NA,NA,NA,NA,NA,2013.1,2013,2013,TN
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,5TH,2013-01-31,1,452,209,3,0,240,22,20,2,0,0,430,189,1,240,NA,NA,NA,NA,NA,2013.1,2013,2013,TX
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,5TH,2013-01-31,1,1049,497,14,0,538,62,41,14,0,7,987,456,0,531,NA,NA,NA,NA,NA,2013.1,2013,2013,TX
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,5TH,2013-01-31,1,686,300,6,0,380,48,38,6,0,4,638,262,0,376,NA,NA,NA,NA,NA,2013.1,2013,2013,TX
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,5TH,2013-01-31,1,617,334,9,0,274,50,36,8,0,6,567,298,1,268,NA,NA,NA,NA,NA,2013.1,2013,2013,TX
UTAH,UTAH,UT,TENTH CIRCUIT,10TH,2013-01-31,1,964,560,4,0,400,22,15,4,0,3,942,545,0,397,NA,NA,NA,NA,NA,2013.1,2013,2013,UT
VERMONT,VERMONT,VT,SECOND CIRCUIT,2ND,2013-01-31,1,61,48,0,0,13,2,2,0,0,0,59,46,0,13,NA,NA,NA,NA,NA,2013.1,2013,2013,VT
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,4TH,2013-01-31,1,1482,860,11,0,611,47,34,8,0,5,1435,826,3,606,NA,NA,NA,NA,NA,2013.1,2013,2013,VA
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,4TH,2013-01-31,1,533,346,2,0,185,13,10,2,0,1,520,336,0,184,NA,NA,NA,NA,NA,2013.1,2013,2013,VA
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,3RD,2013-01-31,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,2013.1,2013,2013,NA
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,9TH,2013-01-31,1,366,274,0,0,92,6,5,0,0,1,360,269,0,91,NA,NA,NA,NA,NA,2013.1,2013,2013,WA
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,9TH,2013-01-31,1,1637,1291,14,0,332,59,42,13,0,4,1578,1249,1,328,NA,NA,NA,NA,NA,2013.1,2013,2013,WA
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,4TH,2013-01-31,1,140,121,0,0,19,3,3,0,0,0,137,118,0,19,NA,NA,NA,NA,NA,2013.1,2013,2013,WV
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,4TH,2013-01-31,1,157,134,2,0,21,6,4,2,0,0,151,130,0,21,NA,NA,NA,NA,NA,2013.1,2013,2013,WV
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,7TH,2013-01-31,1,1205,845,4,0,356,27,20,4,0,3,1178,825,0,353,NA,NA,NA,NA,NA,2013.1,2013,2013,WI
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,7TH,2013-01-31,1,441,371,0,1,69,15,10,0,1,4,426,361,0,65,NA,NA,NA,NA,NA,2013.1,2013,2013,WI
