STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12_full,QTR_ENDED,DATE,CHAP_12,impute,impute1
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,4,03/31/97,1997-03-31,2,2,NA
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,4,03/31/97,1997-03-31,1,1,NA
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,3,03/31/97,1997-03-31,0,0,NA
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,1,03/31/97,1997-03-31,0,0,NA
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,15,03/31/97,1997-03-31,2,2,NA
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,2,03/31/97,1997-03-31,0,0,NA
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,5,03/31/97,1997-03-31,3,3,NA
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,32,03/31/97,1997-03-31,10,10,NA
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,8,03/31/97,1997-03-31,4,4,NA
NA,TOTAL,NA,TOTAL,1083,12/31/96,1996-12-31,224,224,NA
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,12/31/96,1996-12-31,0,0,NA
NA,TOTAL,NA,FIRST CIRCUIT,8,12/31/96,1996-12-31,0,0,NA
MAINE,MAINE,ME,FIRST CIRCUIT,4,12/31/96,1996-12-31,0,0,NA
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,1,12/31/96,1996-12-31,0,0,NA
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,1,12/31/96,1996-12-31,0,0,NA
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,12/31/96,1996-12-31,0,0,NA
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,2,12/31/96,1996-12-31,0,0,NA
NA,TOTAL,NA,SECOND CIRCUIT,49,12/31/96,1996-12-31,16,16,NA
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,1,12/31/96,1996-12-31,0,0,NA
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,32,12/31/96,1996-12-31,12,12,NA
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,0,12/31/96,1996-12-31,0,0,NA
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,5,12/31/96,1996-12-31,1,1,NA
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,5,12/31/96,1996-12-31,2,2,NA
VERMONT,VERMONT,VT,SECOND CIRCUIT,6,12/31/96,1996-12-31,1,1,NA
NA,TOTAL,NA,THIRD CIRCUIT,25,12/31/96,1996-12-31,7,7,NA
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,3,12/31/96,1996-12-31,0,0,NA
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,3,12/31/96,1996-12-31,0,0,NA
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,8,12/31/96,1996-12-31,4,4,NA
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,4,12/31/96,1996-12-31,2,2,NA
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,7,12/31/96,1996-12-31,1,1,NA
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,12/31/96,1996-12-31,0,0,NA
NA,TOTAL,NA,FOURTH CIRCUIT,41,12/31/96,1996-12-31,9,9,NA
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,4,12/31/96,1996-12-31,4,4,NA
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,10,12/31/96,1996-12-31,1,1,NA
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,2,12/31/96,1996-12-31,0,0,NA
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,3,12/31/96,1996-12-31,0,0,NA
