STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12,QTR_ENDED,DATE
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,10,06/30/02,2002-06-30
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,3,06/30/02,2002-06-30
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,1,06/30/02,2002-06-30
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,6,06/30/02,2002-06-30
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,9,06/30/02,2002-06-30
,TOTAL,,EIGHTH CIRCUIT,62,06/30/02,2002-06-30
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,4,06/30/02,2002-06-30
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,3,06/30/02,2002-06-30
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,3,06/30/02,2002-06-30
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,4,06/30/02,2002-06-30
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,6,06/30/02,2002-06-30
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,5,06/30/02,2002-06-30
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,2,06/30/02,2002-06-30
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,27,06/30/02,2002-06-30
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,6,06/30/02,2002-06-30
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,2,06/30/02,2002-06-30
,TOTAL,,NINTH CIRCUIT,92,06/30/02,2002-06-30
ALASKA,ALASKA,AK,NINTH CIRCUIT,0,06/30/02,2002-06-30
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,6,06/30/02,2002-06-30
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,0,06/30/02,2002-06-30
