STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12,QTR_ENDED,DATE
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,2,09/30/01,2001-09-30
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,1,09/30/01,2001-09-30
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,15,09/30/01,2001-09-30
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,3,09/30/01,2001-09-30
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,0,09/30/01,2001-09-30
,TOTAL,,NINTH CIRCUIT,54,09/30/01,2001-09-30
ALASKA,ALASKA,AK,NINTH CIRCUIT,0,09/30/01,2001-09-30
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,2,09/30/01,2001-09-30
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,0,09/30/01,2001-09-30
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,15,09/30/01,2001-09-30
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,2,09/30/01,2001-09-30
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,1,09/30/01,2001-09-30
HAWAII,HAWAII,HI,NINTH CIRCUIT,0,09/30/01,2001-09-30
IDAHO,IDAHO,ID,NINTH CIRCUIT,5,09/30/01,2001-09-30
MONTANA,MONTANA,MT,NINTH CIRCUIT,2,09/30/01,2001-09-30
NEVADA,NEVADA,NV,NINTH CIRCUIT,0,09/30/01,2001-09-30
OREGON,OREGON,OR,NINTH CIRCUIT,7,09/30/01,2001-09-30
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,20,09/30/01,2001-09-30
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,0,09/30/01,2001-09-30
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,09/30/01,2001-09-30
